"word","decade","decade_count","decade_total","per_mil"
"heard",1910,2,2310,865.8
"heart",1910,4,2310,1731.6
"heaven",1910,1,2310,432.9
"held",1910,1,2310,432.9
"hell",1910,1,2310,432.9
"helpless",1910,2,2310,865.8
"hem",1910,2,2310,865.8
"her",1910,5,2310,2164.5
"here",1910,1,2310,432.9
"him",1910,2,2310,865.8
"his",1910,9,2310,3896.1
"history",1910,2,2310,865.8
"hit",1910,5,2310,2164.5
"hold",1910,1,2310,432.9
"honor",1910,1,2310,432.9
"hook",1910,3,2310,1298.7
"hope",1910,2,2310,865.8
"horse",1910,1,2310,432.9
"hour",1910,1,2310,432.9
"how",1910,3,2310,1298.7
"hurt",1910,1,2310,432.9
"hurtin",1910,5,2310,2164.5
"husband",1910,3,2310,1298.7
"i",1910,61,2310,26406.93
"idiot",1910,2,2310,865.8
"if",1910,11,2310,4761.9
"ignite",1910,2,2310,865.8
"ignore",1910,3,2310,1298.7
"impossible",1910,2,2310,865.8
"in",1910,28,2310,12121.21
"innocent",1910,1,2310,432.9
"instead",1910,2,2310,865.8
"instrumental",1910,1,2310,432.9
"intentions",1910,1,2310,432.9
"is",1910,29,2310,12554.11
"its",1910,44,2310,19047.62
"jail",1910,4,2310,1731.6
"jealous",1910,1,2310,432.9
"jesus",1910,1,2310,432.9
"jump",1910,2,2310,865.8
"just",1910,14,2310,6060.61
"justice",1910,2,2310,865.8
"kept",1910,2,2310,865.8
"kids",1910,2,2310,865.8
"kind",1910,8,2310,3463.2
"king",1910,1,2310,432.9
"know",1910,11,2310,4761.9
"ladder",1910,8,2310,3463.2
"land",1910,1,2310,432.9
"last",1910,2,2310,865.8
"late",1910,1,2310,432.9
"laugh",1910,3,2310,1298.7
"lead",1910,1,2310,432.9
"learn",1910,2,2310,865.8
"leave",1910,5,2310,2164.5
"led",1910,1,2310,432.9
"left",1910,5,2310,2164.5
"legs",1910,1,2310,432.9
"lesson",1910,2,2310,865.8
"let",1910,5,2310,2164.5
"life",1910,5,2310,2164.5
"light",1910,2,2310,865.8
"like",1910,7,2310,3030.3
"lips",1910,2,2310,865.8
"lit",1910,1,2310,432.9
"live",1910,2,2310,865.8
"long",1910,1,2310,432.9
"look",1910,1,2310,432.9
"lookin",1910,1,2310,432.9
"lose",1910,1,2310,432.9
"loser",1910,2,2310,865.8
"love",1910,13,2310,5627.71
"lover",1910,1,2310,432.9
"lower",1910,1,2310,432.9
"lyrics",1910,2,2310,865.8
"made",1910,2,2310,865.8
"make",1910,8,2310,3463.2
"mama",1910,2,2310,865.8
"man",1910,2,2310,865.8
"mark",1910,2,2310,865.8
"married",1910,1,2310,432.9
"matter",1910,11,2310,4761.9
"me",1910,14,2310,6060.61
"measure",1910,2,2310,865.8
"meet",1910,2,2310,865.8
"met",1910,6,2310,2597.4
"middle",1910,1,2310,432.9
"midnight",1910,1,2310,432.9
"miles",1910,1,2310,432.9
"milk",1910,2,2310,865.8
"mind",1910,3,2310,1298.7
"minute",1910,1,2310,432.9
"money",1910,2,2310,865.8
"mouth",1910,4,2310,1731.6
"must",1910,1,2310,432.9
"my",1910,21,2310,9090.91
"myself",1910,2,2310,865.8
"n",1910,1,2310,432.9
"name",1910,1,2310,432.9
"nature",1910,1,2310,432.9
"need",1910,2,2310,865.8
"neighbors",1910,1,2310,432.9
"never",1910,6,2310,2597.4
"new",1910,2,2310,865.8
"night",1910,2,2310,865.8
"no",1910,43,2310,18614.72
"dont",1910,34,2310,14718.61
"now",1910,6,2310,2597.4
"o",1910,1,2310,432.9
"of",1910,24,2310,10389.61
"off",1910,2,2310,865.8
"oh",1910,6,2310,2597.4
"old",1910,1,2310,432.9
"on",1910,17,2310,7359.31
"once",1910,3,2310,1298.7
"one",1910,7,2310,3030.3
"only",1910,3,2310,1298.7
"open",1910,2,2310,865.8
"or",1910,8,2310,3463.2
"our",1910,6,2310,2597.4
"out",1910,8,2310,3463.2
"outside",1910,1,2310,432.9
"over",1910,1,2310,432.9
"own",1910,1,2310,432.9
"pack",1910,1,2310,432.9
"parade",1910,3,2310,1298.7
"paradise",1910,2,2310,865.8
"parents",1910,2,2310,865.8
"past",1910,1,2310,432.9
"pick",1910,4,2310,1731.6
"pity",1910,2,2310,865.8
"place",1910,3,2310,1298.7
"play",1910,7,2310,3030.3
"player",1910,1,2310,432.9
"please",1910,1,2310,432.9
"pleasure",1910,2,2310,865.8
"poor",1910,4,2310,1731.6
"pose",1910,2,2310,865.8
"prize",1910,2,2310,865.8
"probably",1910,1,2310,432.9
"prove",1910,2,2310,865.8
"put",1910,1,2310,432.9
"queen",1910,1,2310,432.9
"quite",1910,2,2310,865.8
"rather",1910,1,2310,432.9
"reach",1910,2,2310,865.8
"read",1910,1,2310,432.9
"realise",1910,1,2310,432.9
"reason",1910,1,2310,432.9
"red",1910,2,2310,865.8
"remember",1910,4,2310,1731.6
"rest",1910,5,2310,2164.5
"return",1910,2,2310,865.8
"right",1910,1,2310,432.9
"river",1910,9,2310,3896.1
"roll",1910,3,2310,1298.7
"romance",1910,2,2310,865.8
"round",1910,2,2310,865.8
"rumors",1910,1,2310,432.9
"run",1910,1,2310,432.9
"safety",1910,2,2310,865.8
"said",1910,7,2310,3030.3
"sail",1910,4,2310,1731.6
"save",1910,1,2310,432.9
"say",1910,1,2310,432.9
"scared",1910,1,2310,432.9
"sea",1910,2,2310,865.8
"see",1910,2,2310,865.8
"seed",1910,1,2310,432.9
"seems",1910,1,2310,432.9
"self",1910,2,2310,865.8
"sell",1910,1,2310,432.9
"shade",1910,1,2310,432.9
"shall",1910,1,2310,432.9
"she",1910,4,2310,1731.6
"shelf",1910,2,2310,865.8
"shine",1910,1,2310,432.9
"shiver",1910,2,2310,865.8
"short",1910,4,2310,1731.6
"should",1910,4,2310,1731.6
"shoulder",1910,4,2310,1731.6
"shout",1910,1,2310,432.9
"show",1910,4,2310,1731.6
"sick",1910,1,2310,432.9
"sight",1910,6,2310,2597.4
"sing",1910,8,2310,3463.2
"sir",1910,1,2310,432.9
"sister",1910,2,2310,865.8
"sit",1910,3,2310,1298.7
"six",1910,5,2310,2164.5
"slept",1910,2,2310,865.8
"slowly",1910,1,2310,432.9
"smell",1910,1,2310,432.9
"smile",1910,5,2310,2164.5
"so",1910,14,2310,6060.61
"solo",1910,1,2310,432.9
"some",1910,1,2310,432.9
"somebody",1910,1,2310,432.9
"sometimes",1910,1,2310,432.9
"song",1910,14,2310,6060.61
"sorry",1910,3,2310,1298.7
"spark",1910,2,2310,865.8
"speech",1910,2,2310,865.8
"spray",1910,1,2310,432.9
"stars",1910,1,2310,432.9
"start",1910,2,2310,865.8
"still",1910,2,2310,865.8
"stole",1910,2,2310,865.8
"stop",1910,1,2310,432.9
"story",1910,3,2310,1298.7
"stray",1910,1,2310,432.9
"stream",1910,1,2310,432.9
"struggle",1910,1,2310,432.9
"stuck",1910,1,2310,432.9
"suit",1910,1,2310,432.9
"sure",1910,7,2310,3030.3
"sweet",1910,3,2310,1298.7
"take",1910,5,2310,2164.5
"taken",1910,1,2310,432.9
"tap",1910,3,2310,1298.7
"target",1910,2,2310,865.8
"teach",1910,2,2310,865.8
"tell",1910,2,2310,865.8
"tempted",1910,1,2310,432.9
"test",1910,1,2310,432.9
"texas",1910,7,2310,3030.3
"than",1910,2,2310,865.8
"thank",1910,1,2310,432.9
"that",1910,47,2310,20346.32
"the",1910,108,2310,46753.25
"thee",1910,1,2310,432.9
"then",1910,5,2310,2164.5
"theres",1910,6,2310,2597.4
"they",1910,2,2310,865.8
"think",1910,3,2310,1298.7
"this",1910,15,2310,6493.51
"those",1910,8,2310,3463.2
"thought",1910,7,2310,3030.3
"three",1910,1,2310,432.9
"throat",1910,1,2310,432.9
"tight",1910,2,2310,865.8
"till",1910,2,2310,865.8
"time",1910,3,2310,1298.7
"tiny",1910,2,2310,865.8
"to",1910,52,2310,22510.82
"told",1910,5,2310,2164.5
"tongue",1910,2,2310,865.8
"too",1910,1,2310,432.9
"took",1910,1,2310,432.9
"top",1910,2,2310,865.8
"touch",1910,4,2310,1731.6
"town",1910,1,2310,432.9
"track",1910,1,2310,432.9
"tragic",1910,2,2310,865.8
"treasure",1910,2,2310,865.8
"tree",1910,1,2310,432.9
"trick",1910,1,2310,432.9
"true",1910,3,2310,1298.7
"tune",1910,1,2310,432.9
"turn",1910,3,2310,1298.7
"twice",1910,2,2310,865.8
"two",1910,10,2310,4329
"understand",1910,1,2310,432.9
"untrue",1910,1,2310,432.9
"up",1910,14,2310,6060.61
"us",1910,4,2310,1731.6
"used",1910,11,2310,4761.9
"very",1910,2,2310,865.8
"version",1910,1,2310,432.9
"waiting",1910,1,2310,432.9
"walk",1910,1,2310,432.9
"was",1910,6,2310,2597.4
"water",1910,1,2310,432.9
"way",1910,4,2310,1731.6
"we",1910,33,2310,14285.71
"wear",1910,1,2310,432.9
"well",1910,9,2310,3896.1
"were",1910,1,2310,432.9
"west",1910,1,2310,432.9
"what",1910,15,2310,6493.51
"when",1910,17,2310,7359.31
"why",1910,1,2310,432.9
"while",1910,1,2310,432.9
"wild",1910,3,2310,1298.7
"will",1910,27,2310,11688.31
"williams",1910,1,2310,432.9
"wind",1910,1,2310,432.9
"wine",1910,2,2310,865.8
"wish",1910,1,2310,432.9
"with",1910,2,2310,865.8
"wont",1910,1,2310,432.9
"woman",1910,3,2310,1298.7
"women",1910,2,2310,865.8
"words",1910,6,2310,2597.4
"would",1910,9,2310,3896.1
"written",1910,1,2310,432.9
"wrong",1910,1,2310,432.9
"wrote",1910,4,2310,1731.6
"ya",1910,2,2310,865.8
"yeah",1910,4,2310,1731.6
"years",1910,1,2310,432.9
"yes",1910,9,2310,3896.1
"you",1910,80,2310,34632.03
"younger",1910,1,2310,432.9
"your",1910,47,2310,20346.32
"yourself",1910,1,2310,432.9
"z",1910,3,2310,1298.7
"1",1920,1,2167,461.47
"2",1920,1,2167,461.47
"20",1920,1,2167,461.47
"a",1920,54,2167,24919.24
"à",1920,14,2167,6460.54
"aaah",1920,1,2167,461.47
"about",1920,1,2167,461.47
"adam",1920,1,2167,461.47
"adiós",1920,1,2167,461.47
"adore",1920,2,2167,922.93
"affair",1920,1,2167,461.47
"affection",1920,1,2167,461.47
"after",1920,5,2167,2307.34
"again",1920,4,2167,1845.87
"agree",1920,1,2167,461.47
"ah",1920,2,2167,922.93
"ai",1920,1,2167,461.47
"air",1920,1,2167,461.47
"al",1920,1,2167,461.47
"all",1920,7,2167,3230.27
"alone",1920,5,2167,2307.34
"always",1920,2,2167,922.93
"am",1920,14,2167,6460.54
"amor",1920,3,2167,1384.4
"an",1920,4,2167,1845.87
"and",1920,42,2167,19381.63
"any",1920,3,2167,1384.4
"antes",1920,1,2167,461.47
"anywhere",1920,3,2167,1384.4
"apologize",1920,1,2167,461.47
"are",1920,12,2167,5537.61
"as",1920,9,2167,4153.21
"ask",1920,2,2167,922.93
"at",1920,7,2167,3230.27
"au",1920,1,2167,461.47
"away",1920,2,2167,922.93
"ayer",1920,1,2167,461.47
"babe",1920,2,2167,922.93
"baby",1920,14,2167,6460.54
"back",1920,4,2167,1845.87
"band",1920,1,2167,461.47
"be",1920,14,2167,6460.54
"beans",1920,4,2167,1845.87
"bed",1920,1,2167,461.47
"before",1920,1,2167,461.47
"behold",1920,2,2167,922.93
"believe",1920,1,2167,461.47
"besos",1920,1,2167,461.47
"best",1920,2,2167,922.93
"better",1920,1,2167,461.47
"between",1920,1,2167,461.47
"big",1920,7,2167,3230.27
"bind",1920,1,2167,461.47
"black",1920,12,2167,5537.61
"blue",1920,3,2167,1384.4
"boat",1920,3,2167,1384.4
"bones",1920,4,2167,1845.87
"bottom",1920,12,2167,5537.61
"bout",1920,2,2167,922.93
"boy",1920,3,2167,1384.4
"brakes",1920,1,2167,461.47
"break",1920,2,2167,922.93
"bring",1920,3,2167,1384.4
"burn",1920,1,2167,461.47
"buscar",1920,3,2167,1384.4
"but",1920,14,2167,6460.54
"ca",1920,3,2167,1384.4
"cada",1920,3,2167,1384.4
"call",1920,5,2167,2307.34
"came",1920,2,2167,922.93
"can",1920,4,2167,1845.87
"canciones",1920,1,2167,461.47
"canción",1920,1,2167,461.47
"care",1920,1,2167,461.47
"cause",1920,21,2167,9690.82
"cest",1920,1,2167,461.47
"chain",1920,1,2167,461.47
"change",1920,1,2167,461.47
"chose",1920,4,2167,1845.87
"ciel",1920,1,2167,461.47
"close",1920,1,2167,461.47
"coeur",1920,1,2167,461.47
"come",1920,8,2167,3691.74
"comme",1920,2,2167,922.93
"comprender",1920,1,2167,461.47
"con",1920,6,2167,2768.8
"contigo",1920,2,2167,922.93
"control",1920,1,2167,461.47
"cos",1920,2,2167,922.93
"could",1920,1,2167,461.47
"cradle",1920,2,2167,922.93
"crawl",1920,2,2167,922.93
"crazy",1920,1,2167,461.47
"cream",1920,1,2167,461.47
"cry",1920,11,2167,5076.14
"cuenta",1920,1,2167,461.47
"daddy",1920,1,2167,461.47
"daily",1920,1,2167,461.47
"dance",1920,11,2167,5076.14
"dancin",1920,1,2167,461.47
"day",1920,3,2167,1384.4
"de",1920,14,2167,6460.54
"declare",1920,2,2167,922.93
"del",1920,1,2167,461.47
"delight",1920,2,2167,922.93
"des",1920,5,2167,2307.34
"día",1920,3,2167,1384.4
"días",1920,1,2167,461.47
"dice",1920,1,2167,461.47
"did",1920,7,2167,3230.27
"dime",1920,9,2167,4153.21
"dinero",1920,1,2167,461.47
"dirty",1920,3,2167,1384.4
"distancia",1920,1,2167,461.47
"do",1920,29,2167,13382.56
"done",1920,1,2167,461.47
"dont",1920,1,2167,461.47
"door",1920,1,2167,461.47
"down",1920,5,2167,2307.34
"dream",1920,1,2167,461.47
"dry",1920,2,2167,922.93
"du",1920,5,2167,2307.34
"duda",1920,3,2167,1384.4
"dulce",1920,1,2167,461.47
"ears",1920,1,2167,461.47
"early",1920,1,2167,461.47
"eat",1920,1,2167,461.47
"el",1920,5,2167,2307.34
"en",1920,2,2167,922.93
"entiendo",1920,2,2167,922.93
"era",1920,2,2167,922.93
"es",1920,5,2167,2307.34
"escucha",1920,1,2167,461.47
"eso",1920,1,2167,461.47
"est",1920,2,2167,922.93
"esta",1920,1,2167,461.47
"et",1920,9,2167,4153.21
"ever",1920,2,2167,922.93
"every",1920,3,2167,1384.4
"everyone",1920,1,2167,461.47
"evry",1920,2,2167,922.93
"eyes",1920,5,2167,2307.34
"face",1920,4,2167,1845.87
"fade",1920,1,2167,461.47
"fall",1920,5,2167,2307.34
"fat",1920,7,2167,3230.27
"faut",1920,6,2167,2768.8
"feed",1920,1,2167,461.47
"feel",1920,3,2167,1384.4
"feet",1920,1,2167,461.47
"fell",1920,2,2167,922.93
"fils",1920,1,2167,461.47
"finally",1920,1,2167,461.47
"find",1920,1,2167,461.47
"first",1920,1,2167,461.47
"flesh",1920,1,2167,461.47
"floor",1920,2,2167,922.93
"fool",1920,4,2167,1845.87
"for",1920,9,2167,4153.21
"forget",1920,2,2167,922.93
"forgive",1920,2,2167,922.93
"found",1920,1,2167,461.47
"friend",1920,1,2167,461.47
"from",1920,5,2167,2307.34
"fuiste",1920,3,2167,1384.4
"fun",1920,2,2167,922.93
"futuro",1920,1,2167,461.47
"get",1920,5,2167,2307.34
"gettin",1920,1,2167,461.47
"give",1920,1,2167,461.47
"go",1920,4,2167,1845.87
"gonna",1920,3,2167,1384.4
"good",1920,1,2167,461.47
"got",1920,11,2167,5076.14
"gotta",1920,1,2167,461.47
"grab",1920,2,2167,922.93
"grace",1920,2,2167,922.93
"grand",1920,2,2167,922.93
"greet",1920,2,2167,922.93
"guard",1920,1,2167,461.47
"ha",1920,1,2167,461.47
"hacen",1920,1,2167,461.47
"hair",1920,1,2167,461.47
"hand",1920,2,2167,922.93
"hang",1920,1,2167,461.47
"happen",1920,1,2167,461.47
"happy",1920,2,2167,922.93
"hard",1920,1,2167,461.47
"hate",1920,1,2167,461.47
"have",1920,28,2167,12921.09
"he",1920,8,2167,3691.74
"hear",1920,2,2167,922.93
"heard",1920,4,2167,1845.87
"heart",1920,6,2167,2768.8
"heaven",1920,2,2167,922.93
